hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
The nuns of the monastery of the Santo Sepolcro di Sampierdarena,female,ecclesiastical,,,Margarita,,female,,,Giovanni Ricci,male,artefices,lanerius,,6,12,,,,,2,1396,1396-01-28
Dexerino de Piacenza,male,foreign,,Piacenza,Lucia,Circassian,female,22,,Antonio de Vultabio,male,artefices,,Voltaggio,8,40,,,,,5,1496,1496
Benedetto Fieschi,male,mercantes,,,Maddalena,Tartaran,female,26,,Giacomo de Camulio,male,artefices,notarius,,5,26,,,,,5.2,1407,1407-01-29
Giorgio de Franchi,male,mercantes,,,Marta,Tartaran,female,30,,Battista de Leone,male,mercantes,,,8,44,,,,,5.5,1419,1419
Domenico Cassana,male,mercantes,draperius,,Maddalena,Tartaran,female,20,,Cesarina Doria,female,nobiles,,,9,50,,,,,5.56,1404,1404
Giovanni de Acurzo,male,artefices,,,Caterina,Bulgarian,female,,,Raffaele Embriaco,male,nobiles,,,8,45,,,,,5.625,1417,1417-12-14
Michele Boneto,male,foreign,,Catalonia,Caterina,Greek,female,18,,Antonio de Marco,male,mercantes,,,8,45,,,,,5.625,1486,1486
Aloiso de Maffeis,male,foreign,,Verona,Lucia,Tartaran,female,20,,Sebastiano di Negro,male,nobiles,,,10,60,,,,,6,1415,1415
Ambrogio Palmario,male,mercantes,,,Lucia,Russian,female,,,Giovanni de Demetrio,male,artefices,,,20,120,,,,,6,1426,1426-11-25
Cosmo Spinola,male,nobiles,,,Andrea,Moorish,female,18,,Aleramo Gentile,male,nobiles,,,10,60,,,,,6,1470,1470-06-15
Domenico Merello,male,artefices,,,Caterina,Circassian,female,24,,Agostino Gropallo,male,artefices,,,10,60,,,,,6,1414,1414
Megallo Lercari,male,nobiles,,,,,female,,,Matteo Scipione,male,nobiles,,,10,60,,,,,6,1425,1425-12-24
Giovanni Lanzapango,male,artefices,mersarius,,Maddalena,Russian,female,18,,Antonio de Recco,male,artefices,,,6,36.25,,,,,6.04,1419,1419
Giacomo de Mezano,male,artefices,,,Maddalena,Russian,female,30,,Giovanni de Ianoto,male,artefices,faber,,9,56,,,,,6.22,1463,1463-05-25
Salvago Grimaldi,male,nobiles,,,Maria,Tartaran,female,,,Leonardo Cassandra,male,,,,8,50,,,,,6.25,1445,1445
Silvestro de Corverio,male,artefices,,,Margherita,Circassian,female,45,,Girolamo Calvi,male,artefices,draperius,,6,37.5,,,,,6.25,1455,1455-01-03
Francesco Spinola,male,nobiles,,,Maddalena,,female,,,Luchina Castagna,female,ecclesiastical,monaca,,3,19,,,,,6.3,1437,1437-08-10
Manfredo di Negro,male,nobiles,,,Maddalena,Circassian,female,35,,Giacomo Fontana,male,foreign,,,7,45,,,,,6.43,1486,1486
The heirs of Lorenzo Spotorno,male,artefices,cultelerius,,Luna,Circassian,female,,,Bertone de Lavania,male,artefices,cultelerius,Lavagna,12,80,,,,,6.67,1429,1429-07-11
Antonio de Natino,male,,,,Elena,Greek,female,,,Francesco Lomellini,male,nobiles,,,10,70,,,,,7,1487,1487-04-25
Donato Bondinario,male,mercantes,,,Caterina,Russian,female,25,,Marcheto de Pelegro,male,artefices,,,8,56,,,,,7,1454,1454-02-07
