ID,Label,Type,gender,occupation,locale,hActive
0dd814dc-5fb0-4f8b-9278-418dc4ffb34d,Antonio Carrega,artefices,male,,,1450–1475
a06eb3b8-a137-4509-a100-b57a18e1e38b,Argentina de Fravega,artefices,female,,,1396–1421
fc75ea34-1f1c-42dc-8f05-8f753d19466c,Bartolomeo de Monsia,artefices,male,seatarius,,1463–1488
08af9d46-341b-46e6-9095-d32aa1c297cd,Bartolomeo de Vulturo,artefices,male,remolarius,Voltri,1368–1393
d41cf4ae-4b4e-4f8f-b868-72bb8ea83ff7,Battista de Benisia,artefices,male,,,1402–1427
8700cf9a-aae7-4caa-9e9f-6977169620c9,Battista de Sancto Nazario,artefices,male,,,1415–1440
5c722ec5-cf22-4b3f-825c-54913d2bedd1,Blasio de Bargono,artefices,male,,Bargone,1451–1476
e39df212-c94f-4eb3-a49b-f84cf90613fa,Domenico Merello,artefices,male,,,1389–1414
03c24dcf-b280-49f2-82ed-6ff571648e80,Egidio Sacherio,artefices,male,notarius,,1435–1460
17a60b31-9f5e-4ca5-a7af-3c06da29e7f9,Fabiano de San Michele,artefices,male,,,1365–1390
2adb6b4f-1903-4c62-83b1-f9f6b0b9ac90,Francesco Foglietta,artefices,male,,,1395–1420
5704f613-6514-486d-a819-4d79d8503502,Giacomo de Andoria,artefices,male,mercante alemano,Andora,1431–1456
b8d9b566-88fe-4c57-98f2-4a5c6a0fb1c5,Giacomo de Mezano,artefices,male,,,1438–1463
a34d8ebc-43e4-4776-80a1-ed0751e89202,Giacomo de Sancto Salvatore,artefices,male,,,1400–1425
77567b3d-4385-46a4-8ac9-4076489d4941,Giovanni de Clavaro,artefices,male,notarius,Chiavari,1445–1470
7301f032-8267-4f0f-a5b8-bcdf24ba89d2,Giovanni de Davania,artefices,male,formagarius,Davagna,1426–1451
0f5910c5-cf59-4fa5-b8dc-102582312a66,Giovanni de Mulassana,artefices,male,calzolarius,Molassana,1412–1437
856a7ce4-989c-443d-85de-d2cdfb2fe326,Giovanni de Stachino,artefices,male,,Mongelia,1449–1474
4ee64a79-9ca8-46d2-a229-b47180505e6a,Giovanni Lanzapango,artefices,male,mersarius,,1394–1419
ea719b13-0868-4d4a-95df-0d05d49335e6,Girolamo de Camulio,artefices,male,episcopus,Camogli | Chios,1460–1485
5fc247e8-c8d8-4946-809a-8d1fbd638a86,Girolamo Navone,artefices,male,,,1472–1497
a8cf6c2b-e8e7-472f-8527-63c841b274e8,Lodisio de Rocheta,artefices,male,,,1430–1455
