hName,hGender,hClass,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svActive,,,,svID,svOMID,fs,3pserv,py,3ppay,patr,pl,actTitle,actDate,actYear,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItOMID,rights,actID,actOMID,actTitle,ActDescription
— de Marini,,nobiles,,,1428–1453,a45f4938-4648-4861-894b-bd120a910629,39831,Margarita,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,1413–1453,1413,1453,40,7c542718-03f5-40c7-b46c-3e663df8f97e,40051,,,,,,,"Antonio Fazio, filza 15, series I, item dated 1453-02-17",1453-02-17,1453,Antonio de Facio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 589,b17198b2-4231-419c-b08b-eb498c842d89,37801,Archivio di stato di Genova,b826c5e9-96b8-427c-be78-332f717bcf59,40205,Franchixia,"This deed the manumission of the Tartaran slave Margherita, who is 40 years of age, by a member of the de Marini family."
Agostino de Cazerio,male,artefices,sartor,,1430–1480,1b5767a9-61e9-4b7b-b329-b76bd3197bfb,29922,Lucia,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,1443–1480,1443,1480,37,7047a059-8f02-4e83-b4d6-8ede3b9abfc2,39684,10,,,,y,in the house inhabited by the holder,"Tommaso Duracino, filza 23, series I, nr. 3",1480-01-04,1480,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 910,92178dce-9229-479d-8bcf-adf522cd5e8e,37850,Archivio di stato di Genova,1e4ab9bd-2080-45ec-8090-ff0866debc42,39706,Franchixia,"Agostino and Francesco de Cazerio free the Circassian slave Lucia, who is 37 years of age.  The images are in the archive folder."
Agostino Doria,male,nobiles,,,1461–1496,c9f71f11-d853-43a8-a938-b409344261b1,23327,Caterina,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,1465–1486,1465,1486,21,d158b356-befa-4dd6-bc38-fd868f7ea8aa,40031,,,,,,,"Girolamo de Uvada, filza 1, nr. 26",1486,1486,Girolamo de Uvada,3df6907c-16a1-435a-9561-df7ae75b5fd5,31247,Notai antichi 1242,339eae52-5a7e-488c-955e-6f377a7592e6,37758,Archivio di stato di Genova,ddbbbb7d-d539-4770-86a6-c7cacbfe6980,40306,Franchixia,"A certain  Agostino Doria frees the Moorish slave Caterina, who is 21 years of age."
Agostino Trainacio,male,,,,1402–1427,abbf7f49-391c-494b-8663-4b254fae5ce2,39832,Maria,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,1387–1427,1387,1427,40,56d2c3c1-2cb3-4a4f-8ef8-a4cad484a3ef,40052,,,,,,,"Lorenzo Villa, filza 3, nr. 373",1427,1427,Lorenzo de Villa,7787ee2e-670f-42d1-8dd6-9ab7e0144ae3,31249,Notai antichi 489,889b3dd7-eab9-4264-b676-e8521c2bbdc1,39796,Archivio di stato di Genova,bcef8218-6baf-4fa7-ba49-8f9d7ffbf17e,40344,Franchixia,"A certain Agostino Trainacio frees the Bulgarian slave Maria, who is 40 years of age."
Alerame Pallavicini,male,nobiles,,,1471–1517,f6cf186d-bc9a-4c2e-9111-76623e8a5fb0,25411,Agnese,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,1466–1496,1466,1496,30,3ddeed9b-3661-43fd-8090-af44255fdf15,40050,6,,,,y,in the house inhabited by the holder,"Giovanni Danove, filza 3, series II, nr. 251",1496-01-04,1496,Giovanni de Novi,4063c1fd-cd7d-46ad-a4d5-256fd90ceb66,31238,Notai antichi 918,b0207022-11d2-47f6-8f3d-e4921182dd2b,37855,Archivio di stato di Genova,3dbd90e5-7d28-49c5-8541-67ec539ea938,40290,Franchixia,"A certain Aleramo Pallavicina frees the Hungarian slave Agnese, who is 30 years of age."
Ambrogio Cattaneo,male,nobiles,,,1438–1463,8ebf9262-7d4a-4864-8249-0d524a1a5325,29939,Caterina,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1420–1452,1420,1452,32,169d10e3-6b96-42f0-8e11-1f78544ab7a3,40009,,,,,,,"Antonio Fazio, filza 14, series II, nr. 382",1452,1452,Antonio de Facio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 588,ed64de2e-d672-4325-9da7-d57122d0f215,37800,Archivio di stato di Genova,5f275c8b-6ee8-4d1f-b54b-32888e51b8ec,40204,Franchixia,"A certain Ambrogio Cattaneo frees the Abkhazan slave Caterina, who is 32 years of age."
an unnamed slaveholder,,,,,,7c634e0a-4c75-4f0b-a876-22b25b673a47,39833,an unnamed enslaved Jewish person,Jewish,818c9d6f-fe39-41e0-a4b5-b23b89fa55dc,31282,unknown,,,,0,912578cc-5140-4ba0-bb9b-be3fcda7ed7d,40053,,,,,,,"Ambrogio Garumbero, filza 7, item dated 1499-07-11",1499-07-11,1499,Ambrogio Garumbero,1827a0a6-2c00-48d1-8936-27a2b31dce11,23521,Notai antichi 1082,7708700f-bb2d-4b58-89e9-68721ce57681,39765,Archivio di stato di Genova,2463878b-c210-4c61-ad50-9f9027ce96fc,40190,Franchixia,"A certain --- frees the Jewish slave ---.  According to Musso, this deed describes the manumission of a Jewish slave."
an unnamed slaveholder,,,,,1394–1419,55aab37f-79d7-4c0e-8f25-5ef890a40822,39834,Maria,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,1398–1419,1398,1419,21,1d6e055f-afc9-4b79-977f-b9a2c2c1e435,40054,,,,,,,"Gregorio Labaino, filza 6, series I, item dated 1419-04-15",1419-04-15,1419,Gregorio de Labaino,96f2e7d6-05c7-4ab7-9b52-bc909ea30f60,23814,Notai antichi 607,75767799-cf99-4489-b433-d496622171f8,37807,Archivio di stato di Genova,35e0bbc4-ac53-4d4a-9dc5-02d7865a6fb2,40315,Franchixia,The reference by Gioffrè is incomplete. This deed refers to manumission of a 22-year old Tartaran slave named Maria.
Anastasia Spinola,female,nobiles,,,1455–1480,fe6da023-752e-4ccf-8883-44b5efa009b3,39835,Lucia,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,1430–1480,1430,1480,50,f84ad5e2-af84-45d0-861e-4b1c998e4cc6,40055,,,,,y,in a home of an independent party,"Lorenzo Costa, filza 10, nr. 104",1480-03-10,1480,Lorenzo Costa,114bb456-e4db-42db-a1d0-8e66f53996b4,23313,Notai antichi 996,20d84745-4821-4256-8814-6f84fed07ae2,39830,Archivio di stato di Genova,fcc40b2b-b4ba-4ec2-8253-2c02bd32025c,40325,Franchixia,"A certain Anastasia Doria frees the Circassian slave Lucia, who is 50 years of age."
Andrea de Guisulfis,male,mercantes,,,1414–1439,ae40d926-3ef1-4a65-8684-de0dd32971b8,39836,Antonio,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,male,1411–1439,1411,1439,28,34338b87-ed22-4bac-8fbb-83a47b097603,40056,,,,,,,"Antonio Fazio, filza 6, series I, nr. 234",1439,1439,Antonio de Facio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 580,313c4aa2-f312-443a-8d3a-7e655d969238,39801,Archivio di stato di Genova,5f4cc56a-69ec-4d27-b403-d1d7ddb0eedd,40212,Franchixia,"A certain Andrea de Guisulfis frees the Russian slave Antonio, who is 28 years of age."
