Omeka ID,cidoc-crm:P149_is_identified_by,name_pedigree,name_source,edgeName,cidoc-crm:P152_has_parent,UUID-target,name_target
23136,a4f379b8-8ae5-4363-8f0f-1a4a94c36197,— Camilla q. Enrico,— Camilla,—hasFather—>,23143,5e29aa7a-66be-4a9a-a6e1-01a0037e165f,Enrico Camilla 
23473,5f66e761-0641-464f-bd2a-582b557b6749,— Fieschi q. Daniele,— Fieschi,—hasFather—>,23468,2089d353-1df2-4293-a23a-c35722113005,Daniele Fieschi
23868,8de135e8-9786-40ed-b638-182c9012f2ec,— Lomellini q. Tobia,— Lomellini,—hasFather—>,25156,ebf1570c-a27e-4fa9-8562-e37f2b7d639d,Tobia Lomellini
23869,bb9e8b78-bfd8-49b1-8efb-90b04cfe9867,Abraino Lomellini q. Simone,Abraino Lomellini,—hasFather—>,25084,f80be426-53bd-4a9c-85df-9580bd4dbf20,Simone Lomellini
23518,0869a800-07e2-42ea-a7cd-8d3d26e47028,Abramo Garibaldi q. Beda,Abramo Garibaldi,—hasFather—>,23519,c322ae10-e1c0-42a8-acd1-e50325ebcbea,Beda Garibaldi
23823,eaeeda24-ab84-495d-bb3d-a7d5d8ed1306,Acellino Lercari q. Girolamo,Acellino Lercari,—hasFather—>,23840,b890122c-f020-4843-9720-e1c0c2b594c0,Girolamo Lercari
23870,d75bf206-9bb4-44f5-8f69-6d671742effb,Adelasia Lomellini q. Ansaldo,Adelasia Lomellini,—hasFather—>,23961,33628e9f-7fec-4dc7-be53-48ed2b163914,Ansaldo Lomellini
23871,c56afacc-fa22-4d31-a7f9-377782727318,Adelasia Lomellini q. Oberto da,Adelasia Lomellini,—hasFather—>,25234,fadebe02-ff24-43ce-90d4-9ad2d040a377,Oberto da Lumbello
23872,c6e80096-5df3-4088-aa38-0e81ec4a427b,Adriano Lomellini q. Bonifacio,Adriano Lomellini,—hasFather—>,24131,015408dc-f458-4dc3-8d2e-604d9c602d77,Bonifacio Lomellini
23873,81e1abae-278f-4c5c-9290-a26d4f9f02ec,Agamennone Lomellini q. Angelo,Agamennone Lomellini,—hasFather—>,23945,039500c1-943a-4095-b467-38d29bc27196,Angelo Lomellini
23874,887e631e-94a6-421c-b43d-8499c376e46d,Agamennone Lomellini q. Egidio,Agamennone Lomellini,—hasFather—>,24273,4e6b79bc-d87b-4288-a639-143a02dee20a,Egidio Lomellini
23875,2ccd7242-6b53-4e86-81a8-0185bff88f6a,Agnese Lomellini q. Giacomo,Agnese Lomellini,—hasFather—>,24426,5fbc2f69-94d3-4cd2-b1b1-ff6f58d11f9f,Giacomo Lomellini
23137,6b8ebdf7-0c6a-4544-8b64-91cb19764d62,Agostino Camilla q. Tedisio,Agostino Camilla,—hasFather—>,23151,f35202af-c960-4537-89bc-03c677dac832,Tedisio Camilla
23236,75cd7e68-7bfb-4f1f-9c5b-ad4f3a8cc5fb,Agostino Centurione Cantelli q. Giacomo,Agostino Centurione Cantelli,—hasFather—>,23255,4533eef1-68a5-4f90-8d9c-a478793341df,Giacomo Centurione Cantelli
