omeka-IDsource,cidoc-crm:P149_is_identified_by,name_source,edge,cidoc-crm:P152_has_parent,targetID,name_target
24507,0005ee4c-c97e-4b56-97aa-5486c3903649,Giovanni Battista Lomellini,—hasMother—>,25543,b6c53182-f1e5-4917-9f70-dfd0d9b0fd74,Grimalda Salvago
23885,001dbea9-28d2-4476-9dbd-b610903c6550,Agostino Lomellini,—hasMother—>,23395,3f38c4cd-f982-42a1-bbd2-6f511c2e228c,Gironima Doria
24318,0035ff4e-f592-4f26-bba3-b58a7f4c0091,Filippo Lomellini,—hasMother—>,24054,9c6505a0-696b-415b-ae4b-c12f19fd3a69,Battina Lomellini
24328,00d60a8e-d7d7-4115-9a93-c1947cc6b069,Francesco Lomellini,—hasMother—>,25389,9474248e-143c-4c3e-ba98-ebcf5949e09a,Isabella Negrone
24963,00eaa705-19fd-482b-8333-b66392c69a9c,Paolo Orazio Lomellini,—hasMother—>,25293,19a2f7b3-6ad6-4bf4-8f7d-0beb7f1fabf3,Caterina de Marini
24192,00f58443-7d4d-42a4-8028-087af08771d7,Caterina Lomellini,—hasMother—>,23190,37e47d1a-72be-42be-bd0f-ca2373011fbb,Battina Cattaneo
24210,011c29c7-ab11-4a57-ab99-787ce510460f,Ceva Lomellini,—hasMother—>,23656,5aba82b9-b3fc-423a-9179-fb52995e7a30,Battina Grimaldi Oliva
24563,01351aa5-d6cd-485d-b0d5-b7f5b780d7b9,Gironima Lomellini,—hasMother—>,25091,e307f82d-46b1-42a4-9cda-ba6c767d10da,Sobrana Lomellini
23892,014ae0aa-db22-4ef2-b76f-91dc7778be3f,Agostino Lomellini,—hasMother—>,23655,ccfc3b66-feb7-447a-9645-df6bec7e0100,Bartolommea Grimaldi Cebà
24131,015408dc-f458-4dc3-8d2e-604d9c602d77,Bonifacio Lomellini,—hasMother—>,23049,8a80ccc0-6449-4e4c-93ad-b1dfa53d5ce5,Tommasina —
23905,015dbdd5-2c35-4d1f-808f-b07a4c08c3fa,Aloana Lomellini,—hasMother—>,23818,dadc983a-ee66-4b7c-a5aa-9cbf9379d551,Caterina Lecavello
24356,01690a3a-ebbc-4b96-87c1-2d3c81273c7b,Francisca Lomellini,—hasMother—>,23994,8d49c1e6-14f0-41c7-92b9-4d03f8d4aef1,Argenta Lomellini
24980,0178a1f9-ad16-4c49-a337-98ce06dbb2cd,Pellegra Lomellini,—hasMother—>,25742,2572e1d7-8a62-4ccd-a0c3-2e6f4e508c1b,Moisetta Spinola
24964,017af6dd-31d2-485c-8e89-4ef1b3c72f12,Paolo Vincenzo Lomellini,—hasMother—>,23296,8d93d158-cc18-42e2-bd36-b1350414fb18,Novella Cicala
24981,01987bdc-6426-4d3c-bfa7-59b9572a5687,Pellegra Lomellini,—hasMother—>,23253,fa7dd5dc-71fe-4ff2-b300-063ce827afa6,Francisca Centurione Cantelli
24009,01a7e2fa-2c2f-4ab1-8cff-5c018c9feda3,Baldassare Lomellini,—hasMother—>,23395,3f38c4cd-f982-42a1-bbd2-6f511c2e228c,Gironima Doria
24033,02372753-c52f-466a-a660-457175fd4407,Bartolommeo Lomellini,—hasMother—>,23220,861ed6af-8c57-4d74-af3a-676cbfeeb5b5,Maria Cattaneo
24390,023b6d84-0f0f-435b-8a4c-02233b81d8fd,Gaspare Lomellini,—hasMother—>,24324,7b081d85-01ec-413f-ba73-1af0e1721335,Franca Lomellini
24977,024a2bc4-5064-458b-ba04-b31606700d12,Pellegra Lomellini,—hasMother—>,23559,78655b92-5326-487f-ad2b-e8614fb6def8,Isabella Gentile Pignoli
24167,028825e6-fc74-4c5c-853a-5693d573330e,Carlo Lomellini,—hasMother—>,24731,1d9ddf68-2987-4dfb-a419-1f1a442c3d64,Luigia Lomellini
24266,02b5abfe-cb81-43a9-be1b-c1e12f0d6a00,Domenico Lomellini,—hasMother—>,23849,605db703-8ccd-42b1-aa80-10cdda923d7b,Luchina Lercari
24959,02c3c0b4-49c1-49b4-a76e-e83dfff3c7f9,Paolo Lomellini,—hasMother—>,23570,59d1b1b1-a6fb-4588-a0a9-12262cc27273,Maria Gentile
24181,02dd3751-7470-4ee1-98bd-f36f3e87ab37,Caterina Lomellini,—hasMother—>,23042,f447cf9f-24c6-410f-9b9f-0b65661e0af8,Porzia —
23983,03727ca4-22bd-4776-99f8-1f808e91e94a,Apollonia Lomellini,—hasMother—>,25293,19a2f7b3-6ad6-4bf4-8f7d-0beb7f1fabf3,Caterina de Marini
23945,039500c1-943a-4095-b467-38d29bc27196,Angelo Lomellini,—hasMother—>,23049,8a80ccc0-6449-4e4c-93ad-b1dfa53d5ce5,Tommasina —
24178,03b4ca0f-beee-408e-aa54-e1d9cba8b1ee,Caterina Lomellini,—hasMother—>,23532,7db4cd87-c299-40dc-903b-14fa4f138fe1,Argenta Gentile
24159,03d744b8-b7f5-4dd2-8b49-31ab5d0115ad,Carlo Lomellini,—hasMother—>,23042,f447cf9f-24c6-410f-9b9f-0b65661e0af8,Porzia —
24362,040f15f2-ae77-4307-b98b-3196a675831c,Francisca Lomellini,—hasMother—>,23643,53372738-2155-4f11-972f-ade73df97eba,Andreola Grimaldi
24437,04d3d15a-acfa-4a92-a7b8-d7dd014ca47a,Ginevra Lomellini,—hasMother—>,25275,0a755ced-7e64-425a-b868-662cb5dd0780,Selvagia de Mari
24055,04dcbcea-4684-4bd3-ac2e-383ad0c59a49,Battina Lomellini,—hasMother—>,23115,18125c40-754a-44ef-a29e-a98fa60d7e79,Maddalena Brignole
24543,04f09eed-bc9d-4be0-b61d-88f71dcbbcf6,Girolamo Lomellini,—hasMother—>,24775,abf07818-22b2-4d57-a13f-076430f3595c,Maria Lomellini
24921,0505cc84-011d-4bba-aae1-1fb54951919b,Odoardo Lomellini,—hasMother—>,25095,79ede81f-f6fe-44dc-8c99-3ea2df501dfb,Sobrana Lomellini
24533,055cc023-52f9-4475-a967-cc3e36e11746,Giovanni Lomellini,—hasMother—>,23606,f4ad5a40-509b-4598-bcaf-30dce9cc86a1,Limbania Giustiniani
25118,055f7e7b-9b34-46e6-876b-a87f05d4a003,Stefano Maria Lomellini,—hasMother—>,25399,faffebcb-1164-43b0-8c1b-4943cfc1e81b,Maria Odone
25746,0565e26c-5e2e-41d0-ae69-e03f5f843635,Niccoletta Spinola,—hasMother—>,24178,03b4ca0f-beee-408e-aa54-e1d9cba8b1ee,Caterina Lomellini
24526,057d01e8-2462-45df-8980-cb1d3f5eea3c,Giovanni Lomellini,—hasMother—>,25552,fb844a13-42fb-43c8-ad5b-e45026972d4e,Selvagia Salvago
24939,05ab32b3-aac9-4695-85eb-80e828a596ff,Orietta Lomellini,—hasMother—>,23819,03c9c85d-62bb-4b6b-8091-451975bf96f2,Isolta Lecavello
24331,05dcd030-d73d-4410-af23-6af75f5e6394,Francesco Lomellini,—hasMother—>,23004,db535961-f6a8-444e-91c0-51ea9b8d8e91,Caterina —
24659,05f541cd-5e61-415e-8166-8bae6d59a44e,Leonardo Lomellini,—hasMother—>,24145,d3f903cf-abbe-4282-959f-941569f55dbf,Brigida Lomellini
25866,05fc39bd-6649-423b-8198-2bc897c53472,Luca Vivaldi,—hasMother—>,25207,2d5888c2-c949-485f-8725-2382f77b8cea,Violante Lomellini
24239,06430686-72d4-45e8-b8fa-6933edea3651,Cristiano Lomellini,—hasMother—>,23413,dcad4e0b-e660-45a7-82ac-02d274890b69,Maria Doria
24113,06482f68-c620-41c5-aaf8-dcaf6770be58,Bertolino Lomellini,—hasMother—>,23046,3871ad32-4e6c-492e-a1fd-a85d6d747343,Simona —
24613,0657f939-188f-4093-8f11-ba65b7c6deb1,Gregorio Lomellini,—hasMother—>,25246,dc0f85f0-3c95-401a-84dc-29e7fae5ec25,Orietta Malocello
24660,06cc4236-169b-4f9e-851e-8b092a0a63a4,Leonardo Lomellini,—hasMother—>,24806,fb04420b-cbaf-411b-9eb1-55ce9428b3c9,Maria Lomellini
24634,073a0452-d0e3-4564-b994-ab08bb46fd8b,Isabella Lomellini,—hasMother—>,23038,71ef6995-d100-4c94-a69d-77ab81f4e12b,Orietta —
24815,07403880-8cb0-4fc8-b080-732c67b3f1ae,Maria Lomellini,—hasMother—>,23834,8eb1cf8b-3941-4dc4-9746-67aa54e99ced,Franca Lercari
24433,0756c613-a49d-4fee-a70a-4265d97da1ef,Giannotto Lomellini,—hasMother—>,23152,4c553284-883a-4899-b7e8-2f5a1599f61e,Eliana Campofregoso
24682,0778c911-941e-4b4c-88d7-11111e7e9fd2,Lorenzina Lomellini,—hasMother—>,23855,b8a9881d-664d-4318-8a33-a8ed4087a5ef,Selvagia Lercari
23177,07a92e65-4222-432b-84d9-0daea191322f,Camilla de Cassina,—hasMother—>,25495,9b8f1d38-0c49-4b67-b1c6-f11c72ded7cd,Isabella Platamona Ventimiglia
24076,07c9e670-0ec0-40c3-bf73-644dfc1a5cd3,Battista Lomellini,—hasMother—>,23987,5a7d8ea1-2a3c-43ca-8f70-7661cabfb119,Argenta Lomellini
23150,07f148bc-5081-461f-bf45-21c9fc60c096,Pelotta Camilla q. Domenico,—hasMother—>,23002,27958a94-436f-4d83-bd94-793985fb620a,Bigotta —
24042,08006309-e45d-4d53-863b-3f706de92d8f,Battina Lomellini,—hasMother—>,24080,1cd8b9ea-99cd-4a23-a6d0-1fc7bb4e089b,Benedetta Lomellini
24810,084450bb-8f90-4a3e-9c0f-fce8fe02dd5e,Maria Lomellini,—hasMother—>,23623,738ecfb9-e519-46b8-b743-8c1daa109c85,Giovanna Grillo
24685,086fc794-1101-4c1c-91a9-1edcc929e1e0,Lorenzo Lomellini,—hasMother—>,25877,d022ca07-d7e4-4852-a4f1-9b2cabaf96d3,Peretta Vivaldi
23993,087b4932-fed1-4ef7-9500-0c8182edd1cc,Argenta Lomellini,—hasMother—>,23572,5d75d31d-096b-4750-bad3-b82396765e4b,Maria Gentile Pignoli
24351,08b8e936-fe43-4dd0-bcdc-4a3cb7fbf8a2,Francesco Lomellini,—hasMother—>,23584,7627597b-e671-4c63-bb39-7c481fffdf07,Selvagia Gentile Ricci
23988,08bf3d64-1895-4d7e-9fa0-2267e69fcb34,Argenta Lomellini,—hasMother—>,23280,ec732cd8-dfa3-4de0-9a05-366c78eb5717,Pietra de Ciba
23912,09066f8e-a1b4-42da-95b2-82ccfe3835db,Ambrogio Lomellini,—hasMother—>,23395,3f38c4cd-f982-42a1-bbd2-6f511c2e228c,Gironima Doria
24107,095f80c6-0a6d-438a-8305-2043b83a8638,Bernardo Lomellini,—hasMother—>,24050,25042291-c1e5-4952-84d6-ff8c9368173c,Battina Lomellini
23929,09de5ca1-a5af-460f-83c8-638d26eb5553,Andreola Lomellini,—hasMother—>,25275,0a755ced-7e64-425a-b868-662cb5dd0780,Selvagia de Mari
24951,09f71018-1a7a-4694-b847-2d0b409d8ffb,Ottobono Lomellini,—hasMother—>,25828,a6934968-a47e-45ac-b0b9-908eb4343b27,Orietta Usodimare
25082,0a0aa159-0880-4992-af71-c58685ab50fd,Simone Lomellini,—hasMother—>,25742,2572e1d7-8a62-4ccd-a0c3-2e6f4e508c1b,Moisetta Spinola
24665,0a81a30b-401f-47f7-9994-3b8bec3cbdec,Leonello Lomellini,—hasMother—>,23049,8a80ccc0-6449-4e4c-93ad-b1dfa53d5ce5,Tommasina —
23906,0aa4ef3b-5395-4f4a-8fb2-8647be354cf2,Ambaldo Lomellini,—hasMother—>,23038,71ef6995-d100-4c94-a69d-77ab81f4e12b,Orietta —
25150,0abb72e3-1f30-40a9-8524-be66889b4683,Teresa Lomellini,—hasMother—>,24150,cb9ccc03-acf2-4f24-9beb-8218f459d3fd,Camilla Lomellini
