cidoc-crm:P143_joined,targetID,edgeHusband,omeka-SRCID,cidoc-crm:P149_is_identified_by,targetName
23687,0087c044-ecbe-40a2-b265-1cb0d4412164,—marriedTo—>,25119,408b8a6f-294a-4a8e-af57-b703794f17ca,
24328,00d60a8e-d7d7-4115-9a93-c1947cc6b069,—marriedTo—>,25577,10c0f47f-825e-4eb0-893a-58b916fe588e,
23516,00f3c92c-0020-42b7-9cf8-bcfc85cd16ca,—marriedTo—>,24648,a5f42bcd-fd5c-46d8-ac36-b30fe2b2a6d1,
25841,0104eb37-948d-4015-8581-bee428e696ea,—marriedTo—>,24782,2a0f688b-17a0-4ab5-a370-c30d0bc085e0,
24131,015408dc-f458-4dc3-8d2e-604d9c602d77,—marriedTo—>,25641,423d58c9-dc44-4b4a-9519-224edf5269de,
24964,017af6dd-31d2-485c-8e89-4ef1b3c72f12,—marriedTo—>,25633,ee550fe2-1366-46dc-8478-4a4fc4a48c44,
23283,01ace0c4-2cdc-478d-8a0d-711dca32b2f8,—marriedTo—>,24865,16fae15a-2b9b-4db8-a9f2-44e3290bdfb4,
24390,023b6d84-0f0f-435b-8a4c-02233b81d8fd,—marriedTo—>,23589,d1d65240-e74c-4bc5-a1bf-7a297cbc9f8e,
24167,028825e6-fc74-4c5c-853a-5693d573330e,—marriedTo—>,24080,1cd8b9ea-99cd-4a23-a6d0-1fc7bb4e089b,
25101,029fd962-b146-4a11-9184-f21a800d8c52,—marriedTo—>,23005,2a5b71a8-1da8-4b47-a72a-ea230184f134,
25101,029fd962-b146-4a11-9184-f21a800d8c52,—marriedTo—>,23180,595e3ae2-bdae-4127-ba4d-7c67a227903f,
24266,02b5abfe-cb81-43a9-be1b-c1e12f0d6a00,—marriedTo—>,25849,03c9c85d-62bb-4b6b-8091-451975bf96f2,
24266,02b5abfe-cb81-43a9-be1b-c1e12f0d6a00,—marriedTo—>,23819,cc417d27-a2e1-4826-822f-29818252ac3c,
24959,02c3c0b4-49c1-49b4-a76e-e83dfff3c7f9,—marriedTo—>,25251,fa8d78ee-ba59-49ac-9c8d-31464802242c,
23753,0324f1fc-8f33-4986-bf7f-25c6ac3d22ab,—marriedTo—>,23097,be7dbb5d-c151-4253-9e9e-2b3a48f7c962,
23604,033388cf-5b91-44ff-ae48-a23c580c715c,—marriedTo—>,23458,7bc206a8-d124-41f1-b0ad-120d053d548a,
24676,038f77d2-a242-4eff-9842-00feb16a0b2b,—marriedTo—>,25121,f024050c-e0f7-4f60-987a-ec3ff750a34c,
23945,039500c1-943a-4095-b467-38d29bc27196,—marriedTo—>,23021,14c007a3-fd30-40cc-b1dd-174dd9d7aef8,
23745,03a8fb1c-8238-41c8-90ec-ef9d9c410e54,—marriedTo—>,25213,f7c7f0e2-be66-41a8-aea4-ba4ea8a49956,
24543,04f09eed-bc9d-4be0-b61d-88f71dcbbcf6,—marriedTo—>,25612,607f9603-2ac5-4725-81a6-080fc57c93b6,
23219,0509e0e8-ed99-4c2c-9212-a380b975b470,—marriedTo—>,24853,1bf71f6e-2276-446c-ac0a-9497ca5675ab,
25811,056767e8-e57d-4796-a35e-47f6386a026d,—marriedTo—>,24798,20dd611f-0394-4249-a523-3e66af6b6d0f,
25465,057a04ab-d78e-4966-93c6-e1b4474dabcd,—marriedTo—>,24824,c25203d1-0c10-4183-855a-a0d8d6c55d77,
24526,057d01e8-2462-45df-8980-cb1d3f5eea3c,—marriedTo—>,25828,a6934968-a47e-45ac-b0b9-908eb4343b27,
24752,059a037f-70ac-4464-b1e2-c3ca84681f10,—marriedTo—>,23003,4e9aa1a4-906c-401d-8db3-92464c16e8f9,
24331,05dcd030-d73d-4410-af23-6af75f5e6394,—marriedTo—>,25454,43185f88-eed5-42a9-8072-fb442a42a85a,
24659,05f541cd-5e61-415e-8166-8bae6d59a44e,—marriedTo—>,23659,2552b322-281d-41e7-ac4c-211f4c9b58c0,
25280,05f5ed6d-b340-4fb9-9049-5f917beb86ac,—marriedTo—>,25535,4108d3ff-4cbf-40df-9bf9-0de9ffeab9ae,
25866,05fc39bd-6649-423b-8198-2bc897c53472,—marriedTo—>,25164,fe5e9324-bbbe-4248-a060-8aea654b20b1,
24613,0657f939-188f-4093-8f11-ba65b7c6deb1,—marriedTo—>,25781,bf13e400-ebde-43aa-b0a9-1c04c2e2b725,
23294,066ad8e3-6ead-497a-b07f-46657223bccd,—marriedTo—>,24712,5a4b8ef1-f198-4a8c-927b-58d748ce5ef2,
23232,06763273-6e19-4660-90fb-2cb99f877bca,—marriedTo—>,25390,5de5c11d-ecfe-4aa7-97f8-568f23da0319,
25265,06c73cb6-2857-48b0-8652-bb53038eca79,—marriedTo—>,24085,b4edb5c0-f46f-49f9-a295-e1704eb22952,
24660,06cc4236-169b-4f9e-851e-8b092a0a63a4,—marriedTo—>,24805,52b111e9-0641-4fff-984b-ca35c7f81ad4,
25409,070b5a58-fb16-439f-bd80-71070167475e,—marriedTo—>,24289,6415df82-3208-4b32-81c5-e3324dd0ed04,
24433,0756c613-a49d-4fee-a70a-4265d97da1ef,—marriedTo—>,23030,4f7cd4a9-33b5-4627-b1bb-55b194e7b3a0,
23970,083e4705-620f-41d3-ab06-60f540395fcd,—marriedTo—>,23689,8f87bd22-60d4-4773-afa1-6d1080d5a4dc,
25459,0855a925-4fad-48fa-9413-e3395de2e47e,—marriedTo—>,24981,01987bdc-6426-4d3c-bfa7-59b9572a5687,
24220,0868a535-57c0-4b94-839f-f8618ba3062d,—marriedTo—>,24774,fe0d3d8a-79db-4770-973e-634061b9ebdf,
23518,0869a800-07e2-42ea-a7cd-8d3d26e47028,—marriedTo—>,24019,df268090-f9d7-47b0-b8d1-0ac5b00dc383,
23912,09066f8e-a1b4-42da-95b2-82ccfe3835db,—marriedTo—>,25268,ab1094a8-d2e3-47d4-8e02-e38035704911,
23912,09066f8e-a1b4-42da-95b2-82ccfe3835db,—marriedTo—>,25733,2326e60d-58ba-4909-9ccf-33de96600f47,
24107,095f80c6-0a6d-438a-8305-2043b83a8638,—marriedTo—>,24731,1d9ddf68-2987-4dfb-a419-1f1a442c3d64,
25854,0996a530-b3b0-48ef-b417-77e4ca7ed690,—marriedTo—>,23755,1760d0e8-87f4-48b7-81c0-e6328467f937,
25790,0998eb2e-7d37-466e-bf76-3b5422f304c7,—marriedTo—>,25075,418eb200-0ba8-423e-b3f9-69939a2d8aed,
23749,09f088f8-d2d2-4f16-8011-139efe196cde,—marriedTo—>,25065,138b4504-2a49-4080-9290-0e1d797fee81,
24665,0a81a30b-401f-47f7-9994-3b8bec3cbdec,—marriedTo—>,23006,5163e067-524c-45ad-a311-0f948f694f44,
