OmekaID,cidoc-crm:P149_is_identified_by,GED_ID,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P131_is_identified_by,nameFamily,foaf:membershipClass,namesGiven,cidoc-crm:P27i_was_origin_of,foaf:gender,,cidoc-crm:P4_has_time-span,dob,dob_ante,dob_post,dod,dod_ante,dod_post,VIAF,religion,status,ethnicity
22995,99325117-67ee-45e1-8dca-8e8bcc8ea219,P1028,Adelasia — ,,—,,Adelasia,,female,,–1253,,,,,,1253,,Christian,,
22996,63d5fab1-c8b3-46ba-9c1e-5c3b94731e97,P476,Angela — ,,—,,Angela,,female,,–,,,,,,,,Christian,,
22997,f2a83931-a87b-4195-bb96-68662b02f072,,Anna —,,—,,Anna,Russian,female,,1424–,,1424,,,,,,,enslaved,Russian
22998,0b508650-d009-4392-9fd9-16ff3c3caa74,,Antonio de Florentia,,—,,Antonio,Florence,male,,–1446,,,,,,1446,,Christian,,
22999,5e5a977e-9aef-4cd2-b697-556cbb136aa8,P1123,Argenta — ,,—,,Argenta,,female,,–1348,,,,,,1348,,Christian,,
23000,145c7226-6bf0-42f1-9d07-2dc4e07abc96,P1631,Argenta — ,,—,,Argenta,,female,,–,,,,,,,,Christian,,
23001,f10b1446-eda1-4eb8-8443-7c1cef76d2b8,P995,Attilia — ,,—,,Attilia,,female,,–1222,,,,,,1222,,Christian,,
23002,27958a94-436f-4d83-bd94-793985fb620a,,Bigotta —,,—,,Bigotta,,female,,–1523,,,,,1523,,,Christian,,
23003,4e9aa1a4-906c-401d-8db3-92464c16e8f9,P906,Campiona — ,,—,,Campiona,,female,,–,,,,,,,,Christian,,
23004,db535961-f6a8-444e-91c0-51ea9b8d8e91,P1621,Caterina — ,,—,,Caterina,,female,,1324–1347,,1324,,,,1347,,Christian,,
23005,2a5b71a8-1da8-4b47-a72a-ea230184f134,P2182,Caterina — ,,—,,Caterina,,female,,–,,,,,,,,Christian,,
23006,5163e067-524c-45ad-a311-0f948f694f44,P22,Caterina — ,,—,,Caterina,,female,,–,,,,,,,,Christian,,
23007,41e473e8-4ed2-4d4a-87f4-fa3f13cb7836,P1854,Chiara — ,,—,,Chiara,,female,,–1547,,,,,,1547,,Christian,,
23008,0e2a5eee-e886-403c-b18d-a4724e40785b,P1064,Cicalina — ,,—,,Cicalina,,female,,–1287,,,,,,1287,,Christian,,
23009,4102608c-786e-474e-aae9-88b8c8385f2c,,Cita —,,—,,Cita,Russian,female,,1422–1446,,1422,,,,1446,,,enslaved,Russian
23010,abb9f25d-8b50-4baf-a8d0-478a97c91bc0,P2326,Clarisia — ,,—,,Clarisia,,female,,–1346,,,,,,1346,,Christian,,
23011,646318c1-baa9-47f9-99e9-6f53630bbe45,,Davide —,,—,,Davide,,male,,–1518,,,,,1518,,,Jewish,,
23012,d01244fb-92c1-485d-9655-558327dfa9a9,P1023,Doricella — ,,—,,Doricella,,female,,–1253,,,,,,1253,,Christian,,
23013,ee2a9746-357b-4f3e-a3f0-d950e7048330,P737,Dorotea — ,,—,,Dorotea,,female,,–,,,,,,,,Christian,,
23014,b8b98473-484e-4dc0-9e71-333bff03c301,P1199,Eliana — ,,—,,Eliana,,female,,–1369,,,,,,1369,,Christian,,
23015,d8aef0d5-01ff-4ad1-b13c-bdc800459b0d,P1096,Franca — ,,—,,Franca,,female,,–1356,,,,,,1356,,Christian,,
23016,2e85f439-99d1-4d3a-b90b-e518519ee836,P1133,Francisca — ,Francisca — q. Napoleone,—,,Francisca,,female,,–,,,,,,,,Christian,,
23017,30d92a95-c6d1-4c56-876c-7c0cc1dd6b44,P377,Gioffredina — ,,—,,Gioffredina,,female,,–,,,,,,,,Christian,,
23018,3e99b304-3f0c-42bf-a7fc-09ca188b36a4,P396,Giulia — ,,—,,Giulia,,female,,–1253,,,,,,1253,,Christian,,
23019,679a1e85-3735-4c5f-99f2-5ac9ce5f92a2,P1108,Guidone de Sancto Ambrogio,,—,,Guidone,,male,,–,,,,,,,,Christian,,
23020,a6b945e0-08f1-4367-a1f9-d75e7ec68e21,,Isaaco —,Isaaco — q. Davide,—,,Isaaco,Verona,male,,1498–1518,,1498,,,,1518,,Jewish,,
23021,14c007a3-fd30-40cc-b1dd-174dd9d7aef8,P364,Isabella — ,,—,,Isabella,,female,,–1343,,,,,,1343,,Christian,,
23022,a3602b87-b753-4c97-be3c-4a0fe22422e4,P504,Isabella — ,,—,,Isabella,,female,,–,,,,,,,,Christian,,
23023,feb86792-edd8-4feb-8d5f-d5a42fcdfbae,P1016,Lanza — ,,—,,Lanza,,female,,–1248,,,,,,1248,,Christian,,
23024,f19bf547-487b-4b91-93c6-95483b41c993,P2675,Lodisio de Signori di Ponzone,,—,,Lodisio,Ponzone,male,,–,,,,,,,,Christian,,
23025,33080be5-40fc-43f0-b182-3aaa2a484585,P636,Luchina — ,,—,,Luchina,,female,,–1348,,,,,,1348,,Christian,,
23026,028bd9c3-794a-4594-b344-cb62e48e1da4,P1732,Lucia — ,,—,,Lucia,,female,,–,,,,,,,,Christian,,
23027,97604369-9666-41dc-b275-11340c367983,P1063,Mabilia — ,,—,,Mabilia,,female,,–1292,,,,,,1292,,Christian,,
23028,91d80bfd-6f1e-4dd8-ab53-93a6b57fb00b,,Maddalena —,,—,,Maddalena,Tartaran,female,,1380–1407,1380,,,,,1407,,,enslaved,Tartar
23029,e78beb8e-6df8-4f09-888d-a952742368a8,P1107,Margaritta — ,,—,,Margaritta,,female,,–,,,,,,,,Christian,,
23030,4f7cd4a9-33b5-4627-b1bb-55b194e7b3a0,P1354,Maria — ,,—,,Maria,,female,,–,,,,,,,,Christian,,
23031,97076705-7c38-4757-930e-c625c7ec6d53,P2619,Maria — ,,—,,Maria,,female,,–,,,,,,,,Christian,,
23032,70e5174f-e17a-4acf-8821-37a4aecd022e,,Maria — ,,—,,Maria,Circassian,female,,–,,,,,,,,Christian,,
23033,54a1c67f-d2db-4a82-bd86-c8705a20c0ae,,Marta —,,—,,Marta,,female,,–1444,,,,,,1444,,,enslaved,Circassian
23034,b167b2a6-43ef-452a-ba0c-f70ed716ada8,,Matteo de Florentia,,—,,Matteo,Florence,male,,–1446,,,,,,1446,,Christian,,
23035,69256881-6082-4627-93d0-466728d9124c,P1134,Napoleone — ,,—,,Napoleone,,male,,–,,,,,,,,Christian,,
23036,6694b635-2ab0-452c-8619-4e84efe2ae7f,P1625,Odina — ,,—,,Odina,,female,,–,,,,,,,,Christian,,
23037,a6545e12-744e-453d-bc9e-d0e12ec3071f,P1509,Onorato de Signori di Lingueglia,,—,,Onorato,Laigueglia,male,,–1495,,,,,1495,,,Christian,,
23038,71ef6995-d100-4c94-a69d-77ab81f4e12b,P1276,Orietta — ,,—,,Orietta,,female,,–,,,,,,,,Christian,,
23039,05e88f7e-c475-474e-981f-b94e77bb30df,P1740,Orietta — ,,—,,Orietta,,female,,1343–1361,,1343,,,,1361,,Christian,,
23040,960e91f9-75e8-4419-a600-d5e54db80ffc,P374,Orietta — ,,—,,Orietta,,female,,–,,,,,,,,Christian,,
23041,635037b9-8368-4fbf-9f25-244324d656d3,P1055,Pietra — ,,—,,Pietra,,female,,–,,,,,,,,Christian,,
23042,f447cf9f-24c6-410f-9b9f-0b65661e0af8,P2072,Porzia — ,,—,,Porzia,,female,,–,,,,,,,,Christian,,
23043,c2ea2eda-53d4-47c4-a4f1-5b54e6a89073,P1012,Richelda — ,,—,,Richelda,,female,,–1288,,,,,,1288,,Christian,,
23044,1bed15d1-5660-49e9-871c-a6eede394725,P104,Selvagia — ,,—,,Selvagia,,female,,–1348,,,,,,1348,,Christian,,
23045,1633f4a3-a6d4-4866-94cf-342c55f22768,P1091,Selvagia — ,,—,,Selvagia,,female,,–,,,,,,,,Christian,,
23046,3871ad32-4e6c-492e-a1fd-a85d6d747343,P1022,Simona — ,,—,,Simona,,female,,1235–1268,,1235,,,,1268,,Christian,,
23047,fdb61d25-5ed0-4327-998e-1d9e54be6bef,P2191,Teodora — ,,—,,Teodora,,female,,–,,,,,,,,Christian,,
23048,25919037-acc7-4a22-822f-7669d7f382dc,P6,Teodora — ,,—,,Teodora,,female,,–,,,,,,,,Christian,,
23049,8a80ccc0-6449-4e4c-93ad-b1dfa53d5ce5,P398,Tommasina — ,,—,,Tommasina,,female,,–,,,,,,,,Christian,,
23050,5c9d7cbf-dcab-4caa-99fc-672c97273134,P507,Violante — ,,—,,Violante,,female,,–1359,,,,,,1359,,Christian,,
23051,a2abfc4f-e83b-40bb-9e25-021101767ee9,P1090,Vissa — ,,—,,Vissa,,female,,–,,,,,,,,Christian,,
23052,3ec5ce17-8fcb-44f9-84fb-fe114c1904b7,,Cosino de Abbati,,Abbati,mercantes,Cosino de,,male,,1483–1507,,1483,,,,1507,,Christian,,
23053,76314e7b-cd33-4cb9-aedb-ac9ebbb24109,P82,Adornino Adorno ,,Adorno,mercantes,Adornino,,male,,–1431,,,,1431,,,,Christian,,
23054,d0ac0c3b-809b-4d46-9b3e-7578b33ef04c,P931,Baldassare Adorno ,,Adorno,mercantes,Baldassare,,male,,–,,,,,,,,Christian,,
23055,b872f4cf-2960-4a23-8633-8c98cef3e3e9,P1232,Leonardo Adorno ,,Adorno,mercantes,Leonardo,,male,,–,,,,,,,,Christian,,
23056,9acf8f2f-4edb-4d5f-b5fd-7ae7a739b8a7,P573,Diego de Albizzi ,,Albizzi,,Diego de,,male,,–,,,,,,,,Christian,,
23057,da066736-02cc-4273-9c38-e74ebdf1b98e,P1429,Antonio Aliberti ,,Aliberti,,Antonio,,male,,–1589,,,,,1589,,,Christian,,
23058,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,,Giovanni de Allegro,,Allegro,,Giovanni de,,male,,1386–1428,,1386,,,,1428,,Christian,,
23059,1fc36760-2f9d-4b09-aae7-41b374926b27,P762,Bartolommeo Arangi ,,Arangi,mercantes,Bartolommeo,,male,,–,,,,,,,,Christian,,
23060,df5b7f51-d6db-45f1-8712-9ad9355561f5,P1722,Lorenzo de Augustana ,,Augustana,mercantes,Lorenzo de,,male,,–,,,,,,,,Christian,,
23061,459f7de8-62a0-4005-8ca8-ba63e4f48678,P2125,Giacomo Baciadonne,,Baciadonne,mercantes,Giacomo,,male,,–,,,,,,,,Christian,,
23062,7803028c-2db4-440f-9fb4-a546b0ec4a2b,P1609,Gaspare Baciadonne ,,Baciadonne,mercantes,Gaspare,,male,,–,,,,,,,,Christian,,
23063,b39cef99-4c67-4711-81a2-476897a34e0f,P2034,Antonio Bacigalupo ,,Bacigalupo,,Antonio,,male,,–,,,,,,,,Christian,,
23064,188d535a-1bd8-4f16-aef9-01d5bd339cc9,P2032,Marc' Antonio Bacigalupo ,Marc' Antonio Bacigalupo q. Antonio,Bacigalupo,,Marc' Antonio,,male,,–1563,,,,,,1563,,Christian,,
23065,2d251b92-d5ab-499a-80db-450e306ac801,,Branca Bagnara,,Bagnara,,Branca,,male,,1426–1465,,1426,,,,1465,,Christian,,
23066,88dae790-854f-45f3-93db-63d2b6b79b5a,,Giovanni Balbi,,Balbi,mercantes,Giovanni,,male,,1402–1420,,1402,,,,1420,,Christian,,
23067,0bba6e5f-f792-44be-bda2-334fd6e203fc,P658,Biaggio de Balestrino ,,Balestrino,,Biaggio de,,male,,–,,,,,,,,Christian,,
23068,c9cd3a09-dd07-43da-8a2a-8d0c680162e8,P657,Brigida de Balestrino ,Brigida de Balestrino q. Biaggio de,Balestrino,,Brigida de,,female,,–1544,,,,,,1544,,Christian,,
23069,03fd1b5e-c760-439d-bed6-935f039de9ef,P734,Domenico Banchero ,,Banchero,,Domenico,,male,,–,,,,,,,,Christian,,
23070,29a91ac5-2592-4711-b342-d23823c0ecbf,P733,Gironima Banchero ,Gironima Banchero q. Domenico,Banchero,,Gironima,,female,,–1639,,,,,,1639,,Christian,,
23071,982472cc-4af6-425d-8b4e-600c13312ee9,P1647,Caterina Barbavaria ,Caterina Barbavaria q. Pietro,Barbavaria,,Caterina,,female,,–1354,,,,,,1354,,Christian,,
23072,d6aeca3a-04e0-4771-95aa-930b02b1d9dc,P1654,Pietro Barbavaria ,,Barbavaria,,Pietro,,male,,–,,,,,,,,Christian,,
23073,9dbc2e65-6dd3-4a6f-af56-4c9f82966fd3,P741,Fabrizio Bargagli ,,Bargagli,,Fabrizio,,male,,–,,,,,,,,Christian,,
23074,3fe160f7-90ad-462d-8a01-679ef876c0e3,P738,Francisca Bargagli ,Francisca Bargagli q. Fabrizio,Bargagli,,Francisca,,female,,–,,,,,,,,Christian,,
23075,71760824-7560-4f3a-83db-ba5a00c2ce89,P1167,Francisca Basso ,Francisca Basso q. Simone,Basso,,Francisca,,female,,1309–1341,,1309,,,,1341,,Christian,,
23076,016628e8-60c6-4679-8c29-68823566e8cf,P1182,Simone Basso ,,Basso,,Simone,,male,,–,,,,,,,,Christian,,
23077,f09fd712-902d-4850-a253-3d5f2b003a95,P2615,Alberto de Beato ,,Beato,,Alberto de,,male,,–,,,,,,,,Christian,,
23078,793b2b66-4cf5-402c-889b-ff233bb6d546,P2613,Benedetto de Beato ,Benedetto de Beato q. Alberto de,Beato,,Benedetto de,,male,,–,,,,,,,,Christian,,
23079,898855ec-9c58-4b5d-8342-4636f2e3c53f,P1825,Giovanni Belengerio ,,Belengerio,,Giovanni,,male,,–,,,,,,,,Christian,,
