ID,zoteroKey,OCLC,archiveID,archiveLocation,sourceTitle,date,place,language,description,link
53567522-3555-45d8-81c5-64366fa21aaa,937S3C7K,,ASG,Notai antichi 1558bis,"Ambrogio de Fornari Compiano, filza 1, item dated 1518-03-17",1518-03-17,Genoa,Latin,"Pietro Battista Lomellini sells 14 pieces of black velvet to Isacco, son of the late David and banker in Verona, for 1 gold ""scudo per palmo uno et tribus quartis partibus alterius parmi mensura Januae."" Isacco swears ""per Deum Omnipotentem et per legam datam Moisi in Monte Sinay.""",
7a58408a-ff07-48d6-9d03-f33e3fce7937,DUK3FZQH,,ASG,Notai antichi 1558bis,"Ambrogio de Fornari Compiano, filza 1, nr. 175",1525-06-07,Genoa,Latin,"Will and testament of Domenico Camilla q. Enrico. Buried at Castello. He nominates his wife Maria (Mariettina), his daughters Caterina and Pelotta from his first wife q. Bigotta, his nephew Tedisio Camilla, his second wife Geronima Spinola q. Bartolomeo de Ronco, Maria (Mariola) Camilla q. Enrico wife of q. Battista Oliva Grimaldi as executors. The heirs are his sons Niccolò and Enrico Camilla. Beneficiaries (fedeicommissarii) are Giacomo Ittaliano q. Benedetto, Agostino Camilla q. Tedisio, and in his absence his brother Giovanni, Giovanni Battista Gentile q. Paolo, and his sons.",
b031db1e-28fd-45a0-839b-00c5450c2c6d,,,ASG,Notai antichi 1558bis,"Ambrogio de Fornari Compiano, filza 1, nr. 257",1530,Genoa,Latin,Related to a certain q. Battista Oliva Grimaldi (perhaps a will). The dating is tentative.,
6d9ae6ea-4fe9-4801-9298-786fceb7e9a3,,,ASG,Notai antichi 410,"Ambrogio Fasciolo, registro 1, volume ---, 1375-1406, fol. 161r",1407,Genoa,Latin,"A certain Benedetto Fieschi rents out the Tartaran slave Maddalena, who is 26 years of age, to a certain Jacopo de Camulio, for 5 years and 26 lire.",
48480221-8502-4f4a-9be2-e86c145c5fff,U9VTN4N2,,ASG,Notai antichi 1082,"Ambrogio Garumbero, filza 7, item dated 1499-07-11",1499-07-11,Genoa,Latin,"According to Musso, this deed describes the manumission of a Jewish slave. Musso also specifies the surname of the notary as ""Garumbero"" whereas the archives denote him as ""Garumberio.""",
c66c5e6a-4b71-4851-8592-ce7dbeeafdad,WMBA569N,,ASG,Notai antichi 799,"Andrea de Cairo, filza 19, nr. 151",1464,Genoa,Latin,This deed might mention a certain Leonardo Lomellini.,
be12752e-6d0f-4ca0-bad4-bce1cf6aea46,4RVUQGH5,,ASG,Notai antichi 799,"Andrea de Cairo, filza 19, nr. 195",1464,Genoa,Latin,This deed might mention a certain Paolo Usodimare and Gregorio Usodimare.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dZ2tfMHlNYXRnYTA/view?usp=sharing
f401ad77-64b9-42c5-8085-524d64be4336,K4VQJGZG,,ASG,Notai antichi 799,"Andrea de Cairo, filza 19, nr. 204",1464,Genoa,Latin,Mentions certain members of the Ittaliano family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dMHVvQzE2dHdhY2c/view?usp=sharing
e6e37f34-8bd3-4feb-aad9-4235f4f055c4,XUC3P9M8,,ASG,Notai antichi 799,"Andrea de Cairo, filza 19, nr. 84",1464-05-05,Genoa,Latin,Mentions certain members of the Ittaliano family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dQmV4am9yQ0oyRVU/view?usp=sharing
28f07122-b551-47e3-b8b7-cf0874168127,67SZWCFH,,ASG,Notai antichi 799,"Andrea de Cairo, filza 19, nr. 87",1464,Genoa,Latin,"I'm not quite sure of the date of this item or if Heers has sourced it correctly. It refers to a permanent Genoese trading house in the city of Damascus operated by Luciano and Geronimo Lomellini, associates with a certain member of the Spinola family.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dbGVzRnBqcmJ5Y2s/view?usp=sharing
26b92f35-8c9f-4d80-af5c-8b9c6c445ede,9UWXPQMZ,,ASG,Notai antichi 782,"Andrea de Cairo, filza 2, nr. 41",1444-03-31,Genoa,Latin,"Clara Ittaliano, wife of Pietro de Fornari, frees the Russian slave Marta (age not indicated). A transcription of this deed is contained in Tria. Added to Genoese merchants DB, Nov 2017. Image is in Tropy.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dMFVoTjlwa3RNMkE/view?usp=sharing
e714bdfd-48ab-421b-b784-594b42c37057,FPBVZKUW,,ASG,Notai antichi 801,"Andrea de Cairo, filza 21, nr. 63",1465-02-18,Genoa,Latin,A certain Antonio Ittaliano is identified as the patron of a flotilla of vessels capable of carrying 15000 cantares.,
0dc2eb30-f682-470c-a1be-9d6534f8ffd8,EXZP7TTK,,ASG,Notai antichi 783,"Andrea de Cairo, filza 3, series I, nr. 22",1446-01-25,Genoa,Latin,"A certain Francesco de Dallo and one Antonio de Dallo, a professor of grammar (""gramatice professor""), sell the Russian slave Cita, who is 25 years old, to the Florentine merchant Matteo di ser Antonio for 142 lire.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dSl84dkVxTWRocW8/view?usp=sharing
6cd58a83-e6bb-4d19-a373-4d869289e582,267UIWBZ,,ASG,Notai antichi 784,"Andrea de Cairo, filza 4, nr. 163",1448-07-11,Genoa,Latin,"A certain Gottardo Stella of Sarzana, chancellor of Genoa, sells the Russian slave Anna, 25 years old, to a certain Giorgio Veglio of Ibiza, for 137 lire and 10 soldi.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dRlJXdzVFVzVPeUU/view?usp=sharing
b10fd1c9-0347-4b63-b6cb-f2b5c76cfa63,2D66CCDV,,ASG,Notai antichi 823,"Andrea de Cairo, filza 43, series I, nr. 96 (formerly nr. 153)",1488,Genoa,Latin,Not sure of the purpose of this deed.,
84f81610-e482-47da-9019-f6c9f388073c,SK3UWUD8,,ASG,Notai antichi 823,"Andrea de Cairo, filza 43, series II, nr. 9 (formerly nr. 153)",1488,Genoa,Latin,"Delcaration of the baptism of the fugitive Bulgarian slave Maddalena, 20 years old. Note that the first column of the filza was torn from the rest, so there may be a problem in the ordering of my images. Also took an image from 43/I, just in case. Note that the archivist has written on the filza the Latinzed version as ""Amoheas de Cario""",
e836593d-76e3-4efa-a1c3-d6154fe5f459,JGNK24FZ,,ASG,Notai antichi 827,"Andrea de Cairo, filza 47, series II, nr. 143",1492-12-20,Genoa,Latin,"Lodovico, a Jew who became a Christian only a few days before, and was probably called Samuele, states he has received payment for a Jewish girl, sold without being Christian to Ada Carrega (Urbani, The Jews of Genoa, I: 57; Zazzu, Sepharad, 129). Based on a quick scan I think that this is item 143. Check at home when transcribing. Note that the archivist has written on the filza the Latinzed version as ""Andreas de Cario.""",
