sellerName,sGender,sClass,sOccupation,seLocale,svName,svEthnicity,svGender,svAge,buyerName,bGender,bClass,bOccupation,bLocale,pL,pD,pF,pS,Year,Date,Title
… de Balestrino,male,artefices,filatore,,Martino,Abkhazan,male,25,Aleramo Salvagi,male,nobili,,,80,,,,1436,1436,"Antonio Fazio, filza 4, series II, nr. 12"
Adamo Berchoano,male,,,,Margherita,Tartaran,female,10,Matteo Rubeo,male,mercanti,,,110,,,,1429,1429-04-22,"Bartolomeo Foglietta, filza 1, nr. 58 *"
Adamo de Ponte,male,artefices,cultelerius,,Giorgio,Tartaran,male,20,Antonio de Sancto Ulcixio,male,artefici,macellarius,,70,,,,1403,1403,"Giovanni de Allegro, register 2, 1400–1407, fol. 107r"
Adriano Scorza,male,nobiles,,,Agnese,Tartaran,female,25,Battista Cattaneo q. Alberto,male,nobili,,,130,,,,1456,1456-04-07,"Tommaso Duracino, filza 2, series II, nr. 93"
Agostino Brusasca,male,nobiles,,,Margherita,Circassian,female,22,Cosma Jofredo,male,foreign,,Nice,110,,,,1418,1418,"Giuliano Canella, register 6, 1418–1421, fol. 24r"
Agostino Caffarotto,male,artefices,,,Maria,Russian,female,27,Lodisio de Riparolio,male,,,,220,,,,1476,1476-02-28,"Tommaso Duracino, filza 19, series I, nr. 209 *"
Agostino de Fazio,male,artefices,scaterius,,Teodoro,Albanian,male,16,Francesco de Amendolo,male,mercanti,,,52.5,,,52 l. 10 s.,1480,1480-10-21,"Tommaso Duracino, filza 23, series I, nr. 288"
Agostino de Mari,male,nobiles,,,Margherita,,female,,The nuns of the monastery of the Santo Sepolcro di Sampierdarena,female,religious,monaca,Sampierdarena,,,,,,,"Cristoforo de Revellino, register 10, 1396, fol. 44r"
Agostino de Passano,male,nobiles,,,Giovanni,Tartaran,male,25,Andrea Contarini,male,foreign,mercator,Venice,,,,,1452,1452,"Antonio Fazio, filza 14, series II, nr. 333"
Agostino de Ripalta,male,mercantes,,Ripalta,Caterina,Russian,female,12,Filippo de Fornari,male,mercanti,,,140,,,,1434,1434,"Branca Bagnara, filza 18, nr. 49"
Agostino de Ripalta,male,mercantes,,Ripalta,Niccolò,Wallachian,male,15,Domenico Fieschi,male,nobili,,,60,,,,1484,1484,"Tommaso Duracino, filza 25, series I, nr. 298"
Agostino de Varixio,male,mercantes,,,Iacobino,Moorish,male,28,Giovanni Marco,male,foreign,,Valencia,80,,,,1477,1477-08-14,"Tommaso Duracino, filza 20, nr. 449 *"
Agostino de Zaranto,male,artefices,saltor,,Maddalena,Albanian,female,14,Niccolà de Ferraverio,male,artefici,formagarius,,125,,,,1444,1444-05-02,"Antonio Fazio, filza 8, series II, nr. 144"
Agostino Gropallo,male,mercantes,,,Maddalena,Circassian,female,26,Tommaso Ricci,male,artefici,cultelerius,,150,,,,1461,1461-02-20,"Tommaso Duracino, filza 6, series I, nr. 80"
Agostino Negrone,male,nobiles,,,Caterina,Bosnian,female,24,Bernardo Clavaricia,male,mercanti,,,290,,,,1489,1489,"Lorenzo Costa, filza 13, nr. 620"
Agostino Pallavacino,male,nobiles,,,Maria,Circassian,female,26,Ambrogio Lomellini,male,nobili,,,270,,,,1497,1497,"Antonio Pastorino, filza 12, nr. 290"
Agostino Salvagi,male,nobiles,,,Marcorina,,female,35,Benedetto Negrone,male,nobili,,,140,,,,1454,1454-10-17,"Bartolomeo Risso, filza 6, nr. 267"
Agostino Senarega,male,mercantes,,,,Tartaran,female,19,Antonio Ravaschiero,male,mercanti,,,130,,,,1456,1456-12-10,"Bartolomeo Risso, filza 4, series II, nr. 324"
Agostino Spinola,male,nobiles,,,Anastasia,Moorish,female,24,Giacomo Bondenario,male,mercanti,,,22,,,,1475,1475,"Tommaso Duracino, filza 18, nr. 84"
Alaone Balbi,male,nobiles,,,Maddalena,Russian,female,28,Baldassare Guinigi,male,foreign,,Lucca,90,,,,1409,1409,"Giovanni de Allegro, register 3, 1408–1428, fol. 118r"
Alberto de Illuminatis,male,artefices,,,Lucia,Russian,female,27,Benedetto Goastanino,male,artefici,,Finale,160,,,,1469,1469,"Tommaso Duracino, filza 12, nr. 384"
Alberto di Negro,male,nobiles,,,Margherita,Russian,female,22,Giovanni Amatis,male,foreign,,Venice,,50,,50 dc.,1457,1457-05-24,"Tommaso Duracino, filza 3, series I, nr. 150"
Aleramo Salvagi,male,nobiles,,,Maddalena,Circassian,female,24,Cristoforo de Davania,male,artefici,formagarius,Davagna,170,,,,1465,1465-05-09,"Tommaso Duracino, filza 8, nr. 248"
Alessandro Ravascherio,male,religious,abbot of the monastery of S. Andrea di Sarzana,,,Moorish,female,27,Barnaba de Sancto Blaxio,male,mercanti,,,150,,,,1492,1492,"Nicolò Raggi, filza 21, nr. 16"
Alfonso del Carretto,male,artefices,notarius,,Lucia,Russian,female,14,Giacomo Rosio,male,nobili,,,303,,,,1508,1508-08-30,"Giovanni Battista Parisola, filza 22, nr. 431"
Alfonso Diaz,male,foreign,,Lisbon,Francesca,African,female,14,Francesco de Arquata,male,artefici,,,305,,,,1487,1487,"Nicolò Raggi, filza 17, nr. 101"
Alfonso Diaz,male,foreign,,Barcelona,,African,male,10,Battista Cicala q. Simone,male,nobili,,,70,,,,1489,1489-12-22,"Francesco Delfino, filza 2, nr. 479"
