sName,sGender,sClass,bClass,sOccupaton,sLocale,sActive,sID,sOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOccupation,bLocale,bActive,bID,bOMID,pL,pD,pF,pS,actTitle,actDate,aYear,actPlace,actAuthor (aa),aaID,aaOMID,rights,actID,actOMID
Carlotto Lomellini,male,nobiles,artefices,,,1327–1352,ceb24af3-910b-4941-ad2a-595493734584,24168,Margherita,Bulgarian,,,female,12,1340–1352,35892f91-86dd-432d-b792-6722f5fee0b5,35458,Giacomo de Camino,male,artefices,,,1327–1352,9bc319e0-87c1-4c37-987c-297a0b5c2e99,31273,50,,,,"Tommaso Casanova, register 18, 1351–1352, fol. 303v",1352-11-22,1352,Genoa,Tommaso Casanova,a62e8623-e72e-4d24-b3d7-38c20b538599,31274,Archivio di stato di Genova,22c15275-60c8-41df-a0c9-f189fe9d24fc,36766
Percivale de Marini,male,nobiles,nobiles,,,1332–1357,9b0e55da-c487-450c-849e-ba611f422d4a,31279,Sofia,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,28,1329–1357,fd5550e3-5d97-4cad-9521-d02fbf8c6c3c,35799,Matteo de Marini,male,nobiles,,,1332–1357,aaaa1dc9-8853-4239-8a37-43c9b6e8b45e,25318,25,,,,"Tommaso Casanova, register 20, 1354–1358, fol. 133r–v",1357-05-17,1357,Genoa,Tommaso Casanova,a62e8623-e72e-4d24-b3d7-38c20b538599,31274,Archivio di stato di Genova,37cc72f9-5ccf-44e9-933c-277d8b9e04a1,
Niccolò Bosoni,male,artefices,artefices,notarius,Caffa,1346–1371,f170a6bb-c34e-44c6-9fc8-e31389dcfa70,31194,Martino,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd126,26258,male,18,1353–1371,752f52e2-0153-4ca4-93bc-9205fba84aa1,35735,Emanuele de Fontanegio,male,artefices,notarius,,1346–1371,3caebcdf-6ac7-4bb3-9b40-090c532c54b3,31209,,,,650 asp.,"Giovanni Labaino, filza 14 nr. 412",1371-04-28,1371,Caffa,Giovanni Labaino,3e74de1c-121f-4d3d-acb1-5bc6fe40e09c,23813,Archivio di stato di Genova,68fb951a-c5fb-4a4b-990d-97479e193e32,
Niccolò Bosoni,male,artefices,artefices,notarius,Caffa,1346–1371,f170a6bb-c34e-44c6-9fc8-e31389dcfa70,31194,Giacobina,,,,female,26,1345–1371,40cf8010-fcfb-45e8-b95f-19e8a60d1335,35139,Lodisio Marracio,male,artefices,peliparius,,1346–1371,42a18542-f0fa-41ed-8bf6-6d44783d336a,31210,,,,495 asp.,"Giovanni Labaino, filza 14 nr. 412",1371-04-28,1371,Caffa,Giovanni Labaino,3e74de1c-121f-4d3d-acb1-5bc6fe40e09c,23813,Archivio di stato di Genova,c40b4db7-c6d4-478c-9112-751d93e14b89,
Niccolò Bosoni,male,artefices,nobiles,notarius,Caffa,1346–1371,f170a6bb-c34e-44c6-9fc8-e31389dcfa70,31194,Maddalena,,,,female,23,1348–1371,8d941dd1-abde-4ace-bf3e-2c1c1a93bc0a,35398,Matteo Cattaneo,male,nobiles,,,1346–1371,62716e73-7001-4e45-ab54-7f63929b99b9,31208,,,,800 asp.,"Giovanni Labaino, filza 14 nr. 412",1371-04-28,1371,Caffa,Giovanni Labaino,3e74de1c-121f-4d3d-acb1-5bc6fe40e09c,23813,Archivio di stato di Genova,b75d23e4-4970-4ce4-993f-e18954a9a62d,
Battista Boccanegra,male,mercantes,artefices,,,1351–1376,4ea38dda-1e12-424a-a400-fdfc43c6937a,26673,Martino,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd54,26258,male,13,1363–1376,8d128c50-facc-4aef-8c98-ac9ca40b9686,35726,Giacomo de Quinto,male,artefices,barrillarius,,1351–1376,c6c62aed-9977-4912-8847-45993dcefc71,30384,55,,,,"Bartolomeo Gatto, register 2, 1375–1379, fol. 112r",1376-04-29,1376,Genoa,Bartolomeo Gatto,22040981-79fe-44f2-848b-79024ace6c62,23524,Archivio di stato di Genova,89cc0380-461c-4763-8c60-be2dc37114d9,
Giovanni Negro,male,nobiles,artefices,spaerius,Lavagna,1351–1376,006decc0-de0a-4b8c-9e74-3d9bfa470a84,27088,Cetrolla,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd125,26258,female,16,1360–1376,8f115832-2a25-404d-9ff3-a572f3fda929,35055,Giovanni Greppo,male,artefices,peliparius,,1351–1376,90d78227-33a6-4848-86fe-04bfbf6ea663,30495,36,,,,"Giovanni de Pignono, register 2, 1330–1380, fol. 192r",1376-11-15,1376,Genoa,Giovanni de Pignono,5121e36c-e391-41cc-9174-38c08caf9d2b,31240,Archivio di stato di Genova,e916d6cb-11d4-45e7-94b0-3483f34ed999,
Guglielmo Embriaco,male,nobiles,artefices,,,1357–1382,a23a7e1b-6329-4ea8-a437-1545d303a57c,27148,Giovannina,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd63,26258,female,25,1357–1382,4d0cd8dc-8038-40df-b18d-0a2112431193,35200,Pietro de Bargalio,male,artefices,notarius,Bargagli,1357–1382,4bbbb5fb-5fdc-4cac-887b-6b80f1aa624b,30827,75,,,,"Bartolomeo Gatto, register 1, 1373–1382, fol. 207v",1382-04-30,1382,Genoa,Bartolomeo Gatto,22040981-79fe-44f2-848b-79024ace6c62,23524,Archivio di stato di Genova,3f785173-4db7-4b32-9c76-4f34837891fd,
Antonio Dentuto,male,nobiles,mercantes,,Genoa,1360–1385,b651195a-9946-4d2a-8b56-6fc4159ea53b,26591,Maria,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd161,26258,female,28,1357–1385,7b90fbbe-fbe8-4a45-ae66-1d811ce7ff5d,35569,Lodisio Tortorino,male,mercantes,,,1360–1385,b95b1649-3707-4c1a-83e2-b267f33c7608,30624,90,,,,"Teramo Maggiolo, register 1, 1342–1394, fol. 194r",1385-02-08,1385,Genoa,Teramo Maggiolo,0f5fa43c-270b-4734-8205-ee0af66e37e8,25242,Archivio di stato di Genova,e23b7317-a7e9-4f75-9bbf-08b236b0f101,36764
Antonio Dentuto,male,nobiles,mercantes,,Genoa,1360–1385,b651195a-9946-4d2a-8b56-6fc4159ea53b,26591,Rubio,Russian,2d4212b0-a07e-494a-a7ba-81f254f52344,31354,male,25,1360–1385,6d8b3153-5691-482e-95c6-62ff5d2e8b34,35785,Lodisio Tortorino,male,mercantes,,,1360–1385,b95b1649-3707-4c1a-83e2-b267f33c7608,30624,90,,,,"Teramo Maggiolo, register 1, 1342–1394, fol. 194r",1385-02-08,1385,Genoa,Teramo Maggiolo,0f5fa43c-270b-4734-8205-ee0af66e37e8,25242,Archivio di stato di Genova,e23b7317-a7e9-4f75-9bbf-08b236b0f101,36764
